Frequence;Cepage;Couleur_Actuelle;Statut
4;Chardonnay-Albariño;NON DÉFINI;A FAIRE
4;Pallagrello Nero;NON DÉFINI;A FAIRE
4;Ansonica;NON DÉFINI;A FAIRE
4;Rolle;NON DÉFINI;A FAIRE
4;Sangiovese-Syrah;NON DÉFINI;A FAIRE
4;White Port;NON DÉFINI;A FAIRE
4;Vidal;NON DÉFINI;A FAIRE
4;Meoru;NON DÉFINI;A FAIRE
4;Hárslevelü;NON DÉFINI;A FAIRE
4;Favorita;NON DÉFINI;A FAIRE
4;Okuzgozu;NON DÉFINI;A FAIRE
4;Cabernet Sauvignon Grenache;NON DÉFINI;A FAIRE
4;Greco Bianco;NON DÉFINI;A FAIRE
4;Macabeo-Chardonnay;NON DÉFINI;A FAIRE
4;Cabernet Sauvignon and Tinta Roriz;NON DÉFINI;A FAIRE
4;Loin de l'Oeil;NON DÉFINI;A FAIRE
4;Morio Muskat;NON DÉFINI;A FAIRE
4;Nielluciu;NON DÉFINI;A FAIRE
4;Shiraz-Mourvèdre;NON DÉFINI;A FAIRE
4;Black Monukka;NON DÉFINI;A FAIRE
4;Cserszegi Fűszeres;NON DÉFINI;A FAIRE
4;Feteasca;NON DÉFINI;A FAIRE
4;Királyleányka;NON DÉFINI;A FAIRE
4;Muscat d'Alexandrie;NON DÉFINI;A FAIRE
4;Pinot-Chardonnay;NON DÉFINI;A FAIRE
4;Trebbiano-Malvasia;NON DÉFINI;A FAIRE
4;Zlahtina;NON DÉFINI;A FAIRE
4;Tokay Pinot Gris;NON DÉFINI;A FAIRE
4;Bual;NON DÉFINI;A FAIRE
4;Marzemino;NON DÉFINI;A FAIRE
4;Syrah-Grenache-Viognier;NON DÉFINI;A FAIRE
4;Pallagrello Bianco;NON DÉFINI;A FAIRE
4;Nerello Cappuccio;NON DÉFINI;A FAIRE
4;Muskateller;NON DÉFINI;A FAIRE
4;Fer Servadou;NON DÉFINI;A FAIRE
4;Pineau d'Aunis;NON DÉFINI;A FAIRE
4;Siegerrebe;NON DÉFINI;A FAIRE
3;Jacquère;NON DÉFINI;A FAIRE
3;Sangiovese-Cabernet Sauvignon;NON DÉFINI;A FAIRE
3;Cayuga;NON DÉFINI;A FAIRE
3;Macabeo-Moscatel;NON DÉFINI;A FAIRE
3;Cerceal;NON DÉFINI;A FAIRE
3;Feteascǎ Regalǎ;NON DÉFINI;A FAIRE
3;Cabernet Franc-Cabernet Sauvignon;NON DÉFINI;A FAIRE
3;Garnacha-Cabernet;NON DÉFINI;A FAIRE
3;Mavroudi;NON DÉFINI;A FAIRE
3;Garnacha-Tempranillo;NON DÉFINI;A FAIRE
3;Lambrusco Grasparossa;NON DÉFINI;A FAIRE
3;Alvarinho-Chardonnay;NON DÉFINI;A FAIRE
3;Prokupac;NON DÉFINI;A FAIRE
3;Códega do Larinho;NON DÉFINI;A FAIRE
3;Chardonnay Weissburgunder;NON DÉFINI;A FAIRE
3;Sauvignon Blanc-Chenin Blanc;NON DÉFINI;A FAIRE
3;Cabernet Sauvignon-Merlot-Shiraz;NON DÉFINI;A FAIRE
3;Tai;NON DÉFINI;A FAIRE
3;Clairette;NON DÉFINI;A FAIRE
3;Avesso;NON DÉFINI;A FAIRE
3;Gelber Traminer;NON DÉFINI;A FAIRE
3;Malvar;NON DÉFINI;A FAIRE
3;Pignoletto;NON DÉFINI;A FAIRE
3;Roussanne-Marsanne;NON DÉFINI;A FAIRE
3;Pinot Blanc-Chardonnay;NON DÉFINI;A FAIRE
3;Valdiguié;NON DÉFINI;A FAIRE
3;Argaman;NON DÉFINI;A FAIRE
3;Blatina;NON DÉFINI;A FAIRE
3;Picapoll;NON DÉFINI;A FAIRE
3;Zierfandler-Rotgipfler;NON DÉFINI;A FAIRE
3;Muscadelle;NON DÉFINI;A FAIRE
